"SL 1X40W 2,54","1","40pol. Stiftleiste, gewinkelt, RM 2,54"
"74HCT 138","1","Decoder, 3 to 8, 4,5 ... 5,5 V, DIL-16"
"74HCT 139","1","Dekoder / Demultiplexer, 2 auf 4, 4,5 ... 5,5 V, DIP-16"
"74HCT 74","1","Dual D-Typ-Flip-Flop, 24 MHz, 4,5 ... 5,5 V, DIL-14"
"GS 14P","1","IC-Sockel, 14-polig, superflach, gedreht, vergold."
"GS 16P","4","IC-Sockel, 16-polig, superflach, gedreht, vergold."
"BKL 10120514","1","Stiftleiste 2x8-polig, vergoldet, 2,54mm"
"JUMPER 2,54 GN","1","Kurzschlussbrücke, grün, RM 2,54, vergoldet"
"X7R-2,5 100N","7","Vielschicht-Keramikkondensator 100N, 10%"
"74HC 670","2","Register, 3-State Ausgang, 2 ... 6 V, DIL-16"
"39SF04070-4C-P","1","Multi-NOR-Flash-Speicher, 4 Mb (512 K x 8), 5 V, DIP-32"
"AS 6C4008-55PCN","1","SRAM, 4 Mb (512 K x 8), 5 V, 55ns, DIL-32"
"SIL 6-5 10K","2","Widerstandsnetzwerk, 10 kOhm, Sternschaltung, 5Wid./6Pins"
"GS 32P","2","IC-Sockel, 32-polig, superflach, gedreht, vergold."
